"","Country.Region","Vintage","Product.Name","Grade","Consumption.April.2013...March.2014"
"1","Alsace",2001,"Gewürztraminer Cuvée Théo 2001, Domaine Weinbach (Colette Faller et filles)","B","0"
"2","Alsace",2001,"Riesling Grand Cru Wineck-Schlossberg 2001, Domaine Meyer-Fonné","B","0"
"3","Alsace",2001,"Tokay Pinot Gris Réserve Particulière 2001, Domaine Meyer-Fonné","B","0"
"4","Alsace",2007,"Domaine Marcel Deiss Riesling 2007","B","19"
"5","Alsace",2007,"Pinot Gris Les Eléments 2007 (Domaine Bott-Geyl)","B","12"
"6","Alsace",2007,"Riesling Grand Cru Kirchberg 2007 (Domaine Jean Sipp)","B","4"
"7","Alsace",2008,"Pinot Gris 2008 (Domaine Rolly Gassmann)","B","0"
"8","Alsace",2008,"Riesling Grand Cru Saering 2008 (Domaines Schlumberger)","B","0"
"9","Alsace",2010,"Gewürztraminer ""Les Princes Abbés"" 2010 (Domaines Schlumberger)","B","0"
"10","Argentina",2003,"Prodigo Malbec Reserva 2003, Alessandro Speri, Mendoza","B","0"
"11","Australian",1995,"Lindemans ""Pyrus"" Cabernet Sauvignon 1995","B","2"
"12","Australian",1997,"Eileen Hardy Shiraz 1997, McLaren Vale","B","0"
"13","Australian",1997,"Mitchells Peppertree Shiraz, Clare Valley 1997","C","0"
"14","Australian",2002,"D'Arenberg The Coppermine Road Cabernet Sauvignon 2002, McLaren Vale","B","0"
"15","Australian",2002,"Katnook Estate Prodigy Shiraz 2002, Coonawarra","B","0"
"16","Australian",2002,"Warner Vineyard Giaconda Shiraz 2002","B","0"
"17","Australian",2002,"Yalumba Eden Valley Viognier 2002","B","4"
"18","Australian",2008,"Moss Wood Chardonnay 2008, Margaret River","B","4"
"19","Austrian",2001,"Grüner Veltliner Thal Novemberlese 2001 (Hiedler)","B","25"
"20","Austrian",2011,"Loibner Steinertal Riesling Smaragd 2011, F X Pichler","B","0"
"21","Austrian",2011,"Steiner Riesling Ried Pfaffenberg Selection 2011 Trocken, Weingut Knoll","B","0"
"22","Bordeaux",1955,"Château Latour 1955, 1er Cru Classé, Pauillac","A1","0"
"23","Bordeaux",1961,"Château Gruaud-Larose 1961, 2me Cru Classé, St Julien","A1","0"
"24","Bordeaux",1961,"Château Latour 1961, 1er Cru Classé, Pauillac","A1","0"
"25","Bordeaux",1961,"Château Margaux 1961, 1er Cru Classé, Margaux","A1","0"
"26","Bordeaux",1962,"Château Latour 1962, 1er Cru Classé, Pauillac","A","0"
"27","Bordeaux",1962,"Château Margaux 1962, 1er Cru Classé, Margaux","A","0"
"28","Bordeaux",1970,"Château Palmer 1970, Magnums, 3me Cru Classé, Margaux","A1","0"
"29","Bordeaux",1970,"Château Pétrus 1970, Cru Exceptionnel, Pomerol","A1","0"
"30","Bordeaux",1975,"Château Cheval Blanc 1975, 1er Grand Cru Classé, St Emilion","A","0"
"31","Bordeaux",1975,"Château Cheval Blanc 1975, Magnums, 1er Grand Cru Classé, St Emilion","A","0"
"32","Bordeaux",1975,"Château Margaux 1975, 1er Cru Classé, Margaux","A","0"
"33","Bordeaux",1975,"Château Palmer 1975, 3me Cru Classé, Margaux","B","0"
"34","Bordeaux",1978,"Château Pétrus 1978, Cru Exceptionnel, Pomerol","A1","0"
"35","Bordeaux",1979,"Château Margaux 1979, 1er Cru Classé, Margaux","A1","0"
"36","Bordeaux",1981,"Château Beychevelle 1981, 4me Cru Classé, St Julien","B","0"
"37","Bordeaux",1981,"Château Cheval Blanc 1981, 1er Grand Cru Classé, St Emilion","A","0"
"38","Bordeaux",1982,"Château Beychevelle 1982, Magnums, 4me Cru Classé, St Julien","A","0"
"39","Bordeaux",1982,"Château Margaux 1982, 1er Cru Classé, Margaux","A1","0"
"40","Bordeaux",1983,"Château Cheval Blanc 1983, 1er Grand Cru Classé, St Emilion","A1","5"
"41","Bordeaux",1983,"Château Margaux 1983, 1er Cru Classé, Margaux","A1","0"
"42","Bordeaux",1985,"Château Brane-Cantenac 1985, Magnums, 2me Cru Classé, Cantenac-Margaux","B","0"
"43","Bordeaux",1985,"Château Cheval Blanc 1985, 1er Grand Cru Classé, St Emilion","A1","5"
"44","Bordeaux",1985,"Château Gruaud-Larose 1985, 2me Cru Classé, St Julien","A","0"
"45","Bordeaux",1985,"Château Margaux 1985, 1er Cru Classé, Margaux","A1","7"
"46","Bordeaux",1986,"Château Beychevelle 1986, 4me Cru Classé, St Julien","B","0"
"47","Bordeaux",1986,"Château Cheval Blanc 1986, 1er Grand Cru Classé, St Emilion","A1","0"
"48","Bordeaux",1986,"Château Cos d’Estournel 1986, Magnums, 2me Cru Classé, St Estèphe","A","0"
"49","Bordeaux",1986,"Château Ducru-Beaucaillou 1986, 2me Cru Classé, St Julien","B","3"
"50","Bordeaux",1986,"Château Giscours 1986, 3me Cru Classé, Labarde-Margaux","B","0"
"51","Bordeaux",1986,"Château Margaux 1986, 1er Cru Classé, Margaux","A1","0"
"52","Bordeaux",1986,"Château Montrose 1986, 2me Cru Classé, St Estèphe","A","11"
"53","Bordeaux",1986,"Château Mouton Rothschild 1986, 1er Cru Classé, Pauillac","A1","0"
"54","Bordeaux",1986,"Château Pichon-Longueville Baron 1986, 2me Cru Classé, Pauillac","B","4"
"55","Bordeaux",1986,"Château Pichon-Longueville, Comtesse de Lalande 1986, 2me Cru Classé, Pauillac","A","0"
"56","Bordeaux",1986,"Domaine de Chevalier 1986, Grand Cru Classé, Graves","B","0"
"57","Bordeaux",1986,"Le Pin 1986, Principal Growth, Pomerol","A1","0"
"58","Bordeaux",1986,"Vieux Château Certan 1986, Magnums, Principal Growth, Pomerol","A","0"
"59","Bordeaux",1988,"Chateau Belair 1988","B","0"
"60","Bordeaux",1988,"Château Cos d’Estournel 1988, 2me Cru Classé, St Estèphe","A","1"
"61","Bordeaux",1988,"Château La Lagune 1988, 3me Cru Classé, Ludon (Haut Médoc)","B","0"
"62","Bordeaux",1988,"Château Lafite Rothschild 1988, 1er Cru Classé, Pauillac","A1","0"
"63","Bordeaux",1988,"Château Lynch Bages 1988, 5me Cru Classé, Pauillac","B","0"
"64","Bordeaux",1988,"Château Magdelaine 1988, 1er Grand Cru Classé, St Emilion","B","0"
"65","Bordeaux",1988,"Château Margaux 1988, 1er Cru Classé, Margaux","A1","0"
"66","Bordeaux",1988,"Château Mouton-Rothschild 1988, 1er Cru Classé, Pauillac","A","0"
"67","Bordeaux",1988,"Château Pichon-Longueville Baron 1988, 2me Cru Classé, Pauillac","B","23"
"68","Bordeaux",1988,"Château Rauzan-Ségla 1988, 2me Cru Classé, Margaux","B","5"
"69","Bordeaux",1988,"Château Troplong Mondot 1988, St Emilion","C","0"
"70","Bordeaux",1988,"Vieux Château Certan 1988, Cru Exceptionnel, Pomerol","B","0"
"71","Bordeaux",1989,"Château Angélus 1989, Grand Cru Classé, St Emilion","B","0"
"72","Bordeaux",1989,"Chateau Beauséjour-Duffau-Lagarrosse 1989","B","32"
"73","Bordeaux",1989,"Château Cos d’Estournel 1989, 2me Cru Classé, St Estèphe","A","15"
"74","Bordeaux",1989,"Château Haut Brion 1989, 1er Cru Classé, Graves","A1","0"
"75","Bordeaux",1989,"Château Léoville Lascases 1989, 2me Cru Classé, St Julien","A","53"
"76","Bordeaux",1989,"Château Léoville Poyferré 1989, 2me Cru Classé, St Julien","B","24"
"77","Bordeaux",1989,"Château Mouton Rothschild 1989, 1er Cru Classé, Pauillac","A1","0"
"78","Bordeaux",1990,"Chateau Beychevelle 1990, 4me Cru Classé, St Julien","B","16"
"79","Bordeaux",1990,"Château Brane-Cantenac 1990, 2me Cru Classé, Cantenac-Margaux","B","28"
"80","Bordeaux",1990,"Château Calon-Ségur 1990, 3me Cru Classé, St Estèphe","B","32"
"81","Bordeaux",1990,"Château Canon 1990,  (Magnums) 1er Grand Cru Classé, St Emilion","B","0"
"82","Bordeaux",1990,"Château Canon 1990, 1er Grand Cru Classé, St Emilion","B","3"
"83","Bordeaux",1990,"Château Cos d’Estournel 1990, 2me Cru Classé, St Estèphe","A","0"
"84","Bordeaux",1990,"Château Grand-Puy-Lacoste 1990, 5me Cru Classé, Pauillac","B","0"
"85","Bordeaux",1990,"Château Lafite Rothschild 1990, 1er Cru Classé, Pauillac","A1","0"
"86","Bordeaux",1990,"Château Langoa Barton 1990, 3me Cru Classé, St Julien","B","12"
"87","Bordeaux",1990,"Château Latour 1990, 1er Cru Classé, Pauillac","A1","0"
"88","Bordeaux",1990,"Château Léoville Barton 1990, 2me Cru Classé, St Julien","A","0"
"89","Bordeaux",1990,"Château Léoville Poyferré 1990, 2me Cru Classé, St Julien","A","32"
"90","Bordeaux",1990,"Château Lynch Bages 1990, 5me Cru Classé, Pauillac","A","0"
"91","Bordeaux",1990,"Château Lynch Bages, (Magnums) 1990, 5me Cru Classé, Pauillac","A","0"
"92","Bordeaux",1990,"Château Margaux 1990, 1er Cru Classé, Margaux","A1","0"
"93","Bordeaux",1990,"Château Mouton-Rothschild 1990, 1er Cru Classé, Pauillac","A1","0"
"94","Bordeaux",1990,"Château Pichon-Longueville Baron 1990, 2me Cru Classé, Pauillac","A1","1"
"95","Bordeaux",1990,"Château Pichon-Longueville, Comtesse de Lalande 1990, 2me Cru Classé, Pauillac","A1","11"
"96","Bordeaux",1990,"Chateau Sénéjac 1990","B","0"
"97","Bordeaux",1990,"Château Talbot 1990, 4me Cru Classé, St Julien","B","0"
"98","Bordeaux",1990,"Château Trotanoy 1990, Grand Cru Classé, Pomerol","A1","1"
"99","Bordeaux",1990,"Domaine de Chevalier 1990","B","0"
"100","Bordeaux",1993,"Château Le Tetre-Rôteboeuf 1993","B","0"
"101","Bordeaux",1994,"Château d'Angludet 1994, Margaux","C","60"
"102","Bordeaux",1994,"Chateau Grand-Puy-Lacoste 1994, Pauillac","B","0"
"103","Bordeaux",1994,"Chateau La Grave à Pomerol (Trigant de Boisset) 1994","C","0"
"104","Bordeaux",1994,"Chateau Latour à Pomerol 1994","A","0"
"105","Bordeaux",1994,"Château Léoville Barton, St Julien 1994","B","0"
"106","Bordeaux",1994,"Château Lynch-Bages 1994, 5me Cru Classé, Pauillac","B","0"
